timestamp,project_occupation,status,count
,,,
09/05/2016,Clerical and data entry,open,9966
,,,
09/05/2016,Creative and multimedia,closed,1154
,,,
09/05/2016,Creative and multimedia,new,1038
,,,
09/05/2016,Creative and multimedia,open,12086
,,,
09/05/2016,None,closed,8
,,,
09/05/2016,None,new,11
,,,
09/05/2016,None,open,68
,,,
09/05/2016,Sales and marketing support,closed,456
,,,
09/05/2016,Sales and marketing support,new,452
,,,
09/05/2016,Sales and marketing support,open,6914
,,,
09/05/2016,Software development and technology,closed,1660
,,,
09/05/2016,Software development and technology,new,1474
,,,
09/05/2016,Software development and technology,open,23937
,,,
09/05/2016,Writing and translation,closed,664
,,,
09/05/2016,Writing and translation,new,572
,,,
09/05/2016,Writing and translation,open,10675
,,,
10/05/2016,Business services,closed,121
,,,
10/05/2016,Business services,new,149
,,,
10/05/2016,Business services,open,3155
,,,
10/05/2016,Clerical and data entry,closed,1581
,,,
10/05/2016,Clerical and data entry,new,1585
,,,
10/05/2016,Clerical and data entry,open,9454
,,,
10/05/2016,Creative and multimedia,closed,1827
,,,
10/05/2016,Creative and multimedia,new,1730
,,,
10/05/2016,Creative and multimedia,open,11297
,,,
10/05/2016,None,closed,10
,,,
10/05/2016,None,new,18
,,,
10/05/2016,None,open,69
,,,
10/05/2016,Sales and marketing support,closed,683
,,,
10/05/2016,Sales and marketing support,new,711
,,,
10/05/2016,Sales and marketing support,open,6683
,,,
10/05/2016,Software development and technology,closed,2549
,,,
10/05/2016,Software development and technology,new,2561
,,,
10/05/2016,Software development and technology,open,22862
,,,
10/05/2016,Writing and translation,closed,989
,,,
10/05/2016,Writing and translation,new,897
,,,
10/05/2016,Writing and translation,open,10258
,,,
11/05/2016,Business services,closed,148
,,,
11/05/2016,Business services,new,150
,,,
11/05/2016,Business services,open,3156
,,,
11/05/2016,Clerical and data entry,closed,1659
,,,
11/05/2016,Clerical and data entry,new,1574
,,,
11/05/2016,Clerical and data entry,open,9381
,,,
11/05/2016,Creative and multimedia,closed,1853
,,,
11/05/2016,Creative and multimedia,new,1951
,,,
11/05/2016,Creative and multimedia,open,11174
,,,
11/05/2016,None,closed,20
,,,
11/05/2016,None,new,13
,,,
11/05/2016,None,open,67
,,,
11/05/2016,Sales and marketing support,closed,790
,,,
11/05/2016,Sales and marketing support,new,780
,,,
11/05/2016,Sales and marketing support,open,6604
,,,
11/05/2016,Software development and technology,closed,2685
,,,
11/05/2016,Software development and technology,new,2922
,,,
11/05/2016,Software development and technology,open,22738
,,,
11/05/2016,Writing and translation,closed,929
,,,
11/05/2016,Writing and translation,new,929
,,,
11/05/2016,Writing and translation,open,10226
,,,
12/05/2016,Business services,closed,147
,,,
12/05/2016,Business services,new,188
,,,
12/05/2016,Business services,open,3159
,,,
12/05/2016,Clerical and data entry,closed,1405
,,,
12/05/2016,Clerical and data entry,new,1431
,,,
12/05/2016,Clerical and data entry,open,9552
,,,
12/05/2016,Creative and multimedia,closed,1799
,,,
12/05/2016,Creative and multimedia,new,1925
,,,
12/05/2016,Creative and multimedia,open,11326
,,,
12/05/2016,None,closed,9
,,,
12/05/2016,None,new,14
,,,
12/05/2016,None,open,71
,,,
12/05/2016,Sales and marketing support,closed,627
,,,
12/05/2016,Sales and marketing support,new,719
,,,
12/05/2016,Sales and marketing support,open,6757
,,,
12/05/2016,Software development and technology,closed,2556
,,,
12/05/2016,Software development and technology,new,2767
,,,
12/05/2016,Software development and technology,open,23104
,,,
12/05/2016,Writing and translation,closed,942
,,,
12/05/2016,Writing and translation,new,1050
,,,
12/05/2016,Writing and translation,open,10213
,,,
13/05/2016,Business services,closed,200
,,,
13/05/2016,Business services,new,127
,,,
13/05/2016,Business services,open,3147
,,,
13/05/2016,Clerical and data entry,closed,1571
,,,
13/05/2016,Clerical and data entry,new,1540
,,,
13/05/2016,Clerical and data entry,open,9411
,,,
13/05/2016,Creative and multimedia,closed,1815
,,,
13/05/2016,Creative and multimedia,new,1831
,,,
13/05/2016,Creative and multimedia,open,11436
,,,
13/05/2016,None,closed,12
,,,
13/05/2016,None,new,11
,,,
13/05/2016,None,open,73
,,,
13/05/2016,Sales and marketing support,closed,719
,,,
13/05/2016,Sales and marketing support,new,742
,,,
13/05/2016,Sales and marketing support,open,6757
,,,
13/05/2016,Software development and technology,closed,2718
,,,
13/05/2016,Software development and technology,new,2683
,,,
13/05/2016,Software development and technology,open,23153
,,,
13/05/2016,Writing and translation,closed,922
,,,
13/05/2016,Writing and translation,new,899
,,,
13/05/2016,Writing and translation,open,10341
,,,
14/05/2016,Business services,closed,172
,,,
14/05/2016,Business services,new,141
,,,
14/05/2016,Business services,open,3102
,,,
14/05/2016,Clerical and data entry,closed,1513
,,,
14/05/2016,Clerical and data entry,new,1622
,,,
14/05/2016,Clerical and data entry,open,9437
,,,
14/05/2016,Creative and multimedia,closed,1572
,,,
14/05/2016,Creative and multimedia,new,1639
,,,
14/05/2016,Creative and multimedia,open,11695
,,,
14/05/2016,None,closed,16
,,,
14/05/2016,None,new,12
,,,
14/05/2016,None,open,68
,,,
14/05/2016,Sales and marketing support,closed,660
,,,
14/05/2016,Sales and marketing support,new,580
,,,
14/05/2016,Sales and marketing support,open,6839
,,,
14/05/2016,Software development and technology,closed,2408
,,,
14/05/2016,Software development and technology,new,2432
,,,
14/05/2016,Software development and technology,open,23428
,,,
14/05/2016,Writing and translation,closed,860
,,,
14/05/2016,Writing and translation,new,882
,,,
