timestamp	project_occupation	status	count
2016-05-11	Software development and technology	closed	2685
2016-05-11	Software development and technology	new	2922
2016-05-11	Software development and technology	open	22738
2016-05-11	Writing and translation	closed	929
2016-05-11	Writing and translation	new	929
2016-05-11	Writing and translation	open	10226
2016-05-12	Business services	closed	147
2016-05-12	Business services	new	188
2016-05-12	Business services	open	3159
2016-05-12	Clerical and data entry	closed	1405
2016-05-12	Clerical and data entry	new	1431
2016-05-12	Clerical and data entry	open	9552
2016-05-12	Creative and multimedia	closed	1799
2016-05-12	Creative and multimedia	new	1925
2016-05-12	Creative and multimedia	open	11326
2016-05-12	None	closed	9
2016-05-12	None	new	14
2016-05-12	None	open	71
2016-05-12	Sales and marketing support	closed	627
2016-05-12	Sales and marketing support	new	719
2016-05-12	Sales and marketing support	open	6757
2016-05-12	Software development and technology	closed	2556
2016-05-12	Software development and technology	new	2767
2016-05-12	Software development and technology	open	23104
2016-05-12	Writing and translation	closed	942
2016-05-12	Writing and translation	new	1050
2016-05-12	Writing and translation	open	10213
2016-05-13	Business services	closed	200
2016-05-13	Business services	new	127
2016-05-13	Business services	open	3147
2016-05-13	Clerical and data entry	closed	1571
2016-05-13	Clerical and data entry	new	1540
2016-05-13	Clerical and data entry	open	9411
2016-05-13	Creative and multimedia	closed	1815
2016-05-13	Creative and multimedia	new	1831
2016-05-13	Creative and multimedia	open	11436
2016-05-13	None	closed	12
2016-05-13	None	new	11
2016-05-13	None	open	73
2016-05-13	Sales and marketing support	closed	719
2016-05-13	Sales and marketing support	new	742
2016-05-13	Sales and marketing support	open	6757
2016-05-13	Software development and technology	closed	2718
2016-05-13	Software development and technology	new	2683
2016-05-13	Software development and technology	open	23153
2016-05-13	Writing and translation	closed	922
2016-05-13	Writing and translation	new	899
2016-05-13	Writing and translation	open	10341
2016-05-14	Business services	closed	172
2016-05-14	Business services	new	141
2016-05-14	Business services	open	3102
2016-05-14	Clerical and data entry	closed	1513
2016-05-14	Clerical and data entry	new	1622
2016-05-14	Clerical and data entry	open	9437
2016-05-14	Creative and multimedia	closed	1572
2016-05-14	Creative and multimedia	new	1639
2016-05-14	Creative and multimedia	open	11695
2016-05-14	None	closed	16
2016-05-14	None	new	12
2016-05-14	None	open	68
2016-05-14	Sales and marketing support	closed	660
2016-05-14	Sales and marketing support	new	580
2016-05-14	Sales and marketing support	open	6839
2016-05-14	Software development and technology	closed	2408
2016-05-14	Software development and technology	new	2432
2016-05-14	Software development and technology	open	23428
2016-05-14	Writing and translation	closed	860
2016-05-14	Writing and translation	new	882
2016-05-14	Writing and translation	open	10380
2016-05-15	Business services	closed	141
2016-05-15	Business services	new	81
2016-05-15	Business services	open	3102
2016-05-15	Clerical and data entry	closed	1482
2016-05-15	Clerical and data entry	new	1477
2016-05-15	Clerical and data entry	open	9577
2016-05-15	Creative and multimedia	closed	1148
2016-05-15	Creative and multimedia	new	1162
2016-05-15	Creative and multimedia	open	12186
2016-05-15	None	closed	14
2016-05-15	None	new	7
2016-05-15	None	open	66
2016-05-15	Sales and marketing support	closed	442
2016-05-15	Sales and marketing support	new	436
2016-05-15	Sales and marketing support	open	6977
2016-05-15	Software development and technology	closed	1963
2016-05-15	Software development and technology	new	1707
2016-05-15	Software development and technology	open	23897
2016-05-15	Writing and translation	closed	693
2016-05-15	Writing and translation	new	576
2016-05-15	Writing and translation	open	10569
2016-05-16	Business services	closed	155
2016-05-16	Business services	new	96
2016-05-16	Business services	open	3028
2016-05-16	Clerical and data entry	closed	1325
2016-05-16	Clerical and data entry	new	975
2016-05-16	Clerical and data entry	open	9729
2016-05-16	Creative and multimedia	closed	1262
2016-05-16	Creative and multimedia	new	953
2016-05-16	Creative and multimedia	open	12086
2016-05-16	None	closed	10
2016-05-16	None	new	3
2016-05-16	None	open	63
2016-05-16	Sales and marketing support	closed	521
2016-05-16	Sales and marketing support	new	399
2016-05-16	Sales and marketing support	open	6892
2016-05-16	Software development and technology	closed	1933
2016-05-16	Software development and technology	new	1438
2016-05-16	Software development and technology	open	23671
2016-05-16	Writing and translation	closed	706
2016-05-16	Writing and translation	new	533
2016-05-16	Writing and translation	open	10439
2016-05-17	Business services	closed	160
2016-05-17	Business services	new	153
2016-05-17	Business services	open	2964
2016-05-17	Clerical and data entry	closed	1514
2016-05-17	Clerical and data entry	new	1433
2016-05-17	Clerical and data entry	open	9190
2016-05-17	Creative and multimedia	closed	1785
2016-05-17	Creative and multimedia	new	2050
2016-05-17	Creative and multimedia	open	11255
2016-05-17	None	closed	15
2016-05-17	None	new	20
2016-05-17	None	open	51
2016-05-17	Sales and marketing support	closed	717
2016-05-17	Sales and marketing support	new	844
2016-05-17	Sales and marketing support	open	6574
2016-05-17	Software development and technology	closed	2830
2016-05-17	Software development and technology	new	2838
2016-05-17	Software development and technology	open	22279
2016-05-17	Writing and translation	closed	1029
2016-05-17	Writing and translation	new	1111
2016-05-17	Writing and translation	open	9943
2016-05-18	Business services	closed	157
2016-05-18	Business services	new	147
2016-05-18	Business services	open	2960
2016-05-18	Clerical and data entry	closed	3446
2016-05-18	Clerical and data entry	new	528
2016-05-18	Clerical and data entry	open	7177
2016-05-18	Creative and multimedia	closed	1892
2016-05-18	Creative and multimedia	new	1925
2016-05-18	Creative and multimedia	open	11413
2016-05-18	None	closed	11
2016-05-18	None	new	17
2016-05-18	None	open	60
2016-05-18	Sales and marketing support	closed	835
2016-05-18	Sales and marketing support	new	764
2016-05-18	Sales and marketing support	open	6583
2016-05-18	Software development and technology	closed	2655
2016-05-18	Software development and technology	new	2886
2016-05-18	Software development and technology	open	22462
2016-05-18	Writing and translation	closed	874
2016-05-18	Writing and translation	new	950
2016-05-18	Writing and translation	open	10180
2016-05-19	Business services	closed	196
2016-05-19	Business services	new	168
2016-05-19	Business services	open	2928
2016-05-19	Clerical and data entry	closed	695
2016-05-19	Clerical and data entry	new	682
2016-05-19	Clerical and data entry	open	7023
2016-05-19	Creative and multimedia	closed	1939
2016-05-19	Creative and multimedia	new	1877
2016-05-19	Creative and multimedia	open	11514
2016-05-19	None	closed	14
2016-05-19	None	new	16
2016-05-19	None	open	63
2016-05-19	Sales and marketing support	closed	753
2016-05-19	Sales and marketing support	new	788
2016-05-19	Sales and marketing support	open	6617
2016-05-19	Software development and technology	closed	3210
2016-05-19	Software development and technology	new	2777
2016-05-19	Software development and technology	open	22399
2016-05-19	Writing and translation	closed	1024
2016-05-19	Writing and translation	new	982
2016-05-19	Writing and translation	open	10144
2016-05-20	Business services	closed	50
2016-05-20	Business services	new	75
2016-05-20	Business services	open	785
2016-05-20	Clerical and data entry	closed	390
2016-05-20	Clerical and data entry	new	375
2016-05-20	Clerical and data entry	open	1161
2016-05-20	Creative and multimedia	closed	1395
2016-05-20	Creative and multimedia	new	1460
2016-05-20	Creative and multimedia	open	7095
2016-05-20	None	closed	16
2016-05-20	None	new	22
2016-05-20	None	open	63
2016-05-20	Sales and marketing support	closed	402
2016-05-20	Sales and marketing support	new	415
2016-05-20	Sales and marketing support	open	2069
2016-05-20	Software development and technology	closed	1306
2016-05-20	Software development and technology	new	1578
2016-05-20	Software development and technology	open	11188
2016-05-20	Writing and translation	closed	440
2016-05-20	Writing and translation	new	455
2016-05-20	Writing and translation	open	2677
2016-05-21	Business services	closed	235
2016-05-21	Business services	new	188
2016-05-21	Business services	open	2859
2016-05-21	Clerical and data entry	closed	833
2016-05-21	Clerical and data entry	new	887
2016-05-21	Clerical and data entry	open	6837
2016-05-21	Creative and multimedia	NULL	1
